date, pm25, pm10, no2
2016/8/6, 48, 15, 25
2016/8/7, 42, 14, 20
2016/8/8, 33, 17, 14
2016/8/9, 39, 15, 22
2016/8/10, 40, 16, 23
2016/8/11, 46, 21, 33
2016/8/12, 53, 14, 30
2016/8/13, 36, 16, 27
2016/8/14, 41, 20, 34
2016/8/15, 48, 22, 40
2016/8/16, 52, 31, 44
2016/8/17, 70, 31, 41
2016/8/18, 68, 32, 50
2016/8/19, 79, 24, 33
2016/8/20, 49, 14, 28
2016/8/21, 33, 22, 39
2016/8/22, 53, 28, 57
2016/8/23, 63, 37, 59
2016/8/24, 83, 33, 44
2016/8/25, 85, 19, 32
2016/8/26, 54, 28, 39
2016/8/27, 71, 17, 28
2016/8/28, 49, 14, 25
2016/8/29, 43, 26, 58
2016/8/30, 64, 20, 42
2016/8/31, 54, 22, 41
2016/9/1, 52, 21, 38
2016/9/2, 56, 18, 38
2016/9/3, 48, 13, 23
2016/9/4, 37, 22, 36
2016/9/5, 58, 31, 36
2016/9/6, 78, 33, 54
2016/9/7, 71, 32, 52
2016/9/8, 61, 26, 44
2016/9/9, 51, 22, 37
2016/9/10, 47, 23, 43
2016/9/11, 50, 27, 48
2016/9/12, 55, 40, 66
2016/9/13, 88, 30, 68
2016/9/14, 91, 31, 58
2016/9/15, 94, 26, 21
2016/9/16, 54, 11, 12
2016/9/17, 44, 13, 21
2016/9/18, 49, 13, 26
2016/9/19, 63, , 31
2016/9/20, 66, 69, 62
2016/9/21, 90, , 55
2016/4/1, 70, 26, 49
2016/4/2, 72, 27, 40
2016/4/3, 80, 23, 53
2016/4/4, 58, 19, 36
2016/4/5, 44, 15, 42
2016/4/6, 39, 16, 37
2016/4/7, 46, 21, 48
2016/4/8, 56, 15, 45
2016/4/9, 41, 17, 38
2016/4/10, 41, 37, 45
2016/4/11, 95, 22, 54
2016/4/12, 55, 21, 52
2016/4/13, 58, 26, 62
2016/4/14, 66, 15, 47
2016/4/15, 53, 8, 19
2016/4/16, 33, 13, 25
2016/4/17, 38, 19, 45
2016/4/18, 57, 17, 31
2016/4/19, 44, 25, 41
2016/4/20, 55, 29, 43
2016/4/21, 65, 24, 46
2016/4/22, 61, 13, 32
2016/4/23, 40, 12, 22
2016/4/24, 38, 13, 33
2016/4/25, 44, 9, 18
2016/4/26, 29, 16, 33
2016/4/27, 48, 19, 46
2016/4/28, 55, 15, 40
